meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
176,261.002,274.0521,287.754705,302.1424403,317.2495623,333.1120404,349.7676424,367.2560245,385.6188257,404.899767
177,215.615,226.39575,237.7155375,249.6013144,262.0813801,275.1854491,288.9447216,303.3919576,318.5615555,334.4896333
178,137.999,144.89895,152.1438975,159.7510924,167.738647,176.1255793,184.9318583,194.1784512,203.8873738,214.0817425
179,109.261,114.72405,120.4602525,126.4832651,132.8074284,139.4477998,146.4201898,153.7411993,161.4282592,169.4996722
180,91.739,96.32595,101.1422475,106.1993599,111.5093279,117.0847943,122.939034,129.0859857,135.540285,142.3172992
181,136.618,143.4489,150.621345,158.1524123,166.0600329,174.3630345,183.0811862,192.2352455,201.8470078,211.9393582
182,131.241,137.80305,144.6932025,151.9278626,159.5242558,167.5004685,175.875492,184.6692666,193.9027299,203.5978664
183,129.793,136.28265,143.0967825,150.2516216,157.7642027,165.6524128,173.9350335,182.6317852,191.7633744,201.3515431
184,158.964,166.9122,175.25781,184.0207005,193.2217355,202.8828223,213.0269634,223.6783116,234.8622272,246.6053385
185,198.091,207.99555,218.3953275,229.3150939,240.7808486,252.819891,265.4608855,278.7339298,292.6706263,307.3041576
186,260.525,273.55125,287.2288125,301.5902531,316.6697658,332.5032541,349.1284168,366.5848376,384.9140795,404.1597835
187,27.428,28.7994,30.23937,31.7513385,33.33890543,35.0058507,36.75614323,38.59395039,40.52364791,42.54983031
188,244.514,256.7397,269.576685,283.0555193,297.2082952,312.06871,327.6721455,344.0557527,361.2585404,379.3214674
189,162.426,170.5473,179.074665,188.0283983,197.4298182,207.3013091,217.6663745,228.5496933,239.9771779,251.9760368
190,64.634,67.8657,71.258985,74.82193425,78.56303096,82.49118251,86.61574164,90.94652872,95.49385515,100.2685479
191,22.484,23.6082,24.78861,26.0280405,27.32944253,28.69591465,30.13071038,31.6372459,33.2191082,34.88006361
192,34.051,35.75355,37.5412275,39.41828888,41.38920332,43.45866348,45.63159666,47.91317649,50.30883532,52.82427708
193,38.322,40.2381,42.250005,44.36250525,46.58063051,48.90966204,51.35514514,53.9229024,56.61904752,59.44999989
194,43.615,45.79575,48.0855375,50.48981438,53.01430509,55.66502035,58.44827137,61.37068493,64.43921918,67.66118014
195,58.588,61.5174,64.59327,67.8229335,71.21408018,74.77478418,78.51352339,82.43919956,86.56115954,90.88921752
196,62.924,66.0702,69.37371,72.8423955,76.48451528,80.30874104,84.32417809,88.540387,92.96740634,97.61577666
197,7.581,7.96005,8.3580525,8.775955125,9.214752881,9.675490525,10.15926505,10.6672283,11.20058972,11.76061921
198,117.617,123.49785,129.6727425,136.1563796,142.9641986,150.1124085,157.618029,165.4989304,173.7738769,182.4625708
199,213.759,224.44695,235.6692975,247.4527624,259.8254005,272.8166705,286.457504,300.7803792,315.8193982,331.6103681
200,240.851,252.89355,265.5382275,278.8151389,292.7558958,307.3936906,322.7633751,338.9015439,355.8466211,373.6389521
201,199.894,209.8887,220.383135,231.4022918,242.9724063,255.1210267,267.877078,281.2709319,295.3344785,310.1012024
202,13.515,14.19075,14.9002875,15.64530188,16.42756697,17.24894532,18.11139258,19.01696221,19.96781032,20.96620084
203,104.974,110.2227,115.733835,121.5205268,127.5965531,133.9763807,140.6751998,147.7089598,155.0944078,162.8491281
204,101.748,106.8354,112.17717,117.7860285,123.6753299,129.8590964,136.3520512,143.1696538,150.3281365,157.8445433
205,107.169,112.52745,118.1538225,124.0615136,130.2645893,136.7778188,143.6167097,150.7975452,158.3374225,166.2542936
206,127.397,133.76685,140.4551925,147.4779521,154.8518497,162.5944422,170.7241643,179.2603725,188.2233912,197.6345607
207,173.703,182.38815,191.5075575,201.0829354,211.1370821,221.6939363,232.7786331,244.4175647,256.638443,269.4703651
208,158.833,166.77465,175.1133825,183.8690516,193.0625042,202.7156294,212.8514109,223.4939814,234.6686805,246.4021145
209,18.029,18.93045,19.8769725,20.87082113,21.91436218,23.01008029,24.1605843,25.36861352,26.6370442,27.96889641
210,275.309,289.07445,303.5281725,318.7045811,334.6398102,351.3718007,368.9403907,387.3874103,406.7567808,427.0946198
211,302.939,318.08595,333.9902475,350.6897599,368.2242479,386.6354603,405.9672333,426.2655949,447.5788747,469.9578184
212,232.519,244.14495,256.3521975,269.1698074,282.6282977,296.7597126,311.5976983,327.1775832,343.5364623,360.7132855
213,167.882,176.2761,185.089905,194.3444003,204.0616203,214.2647013,224.9779363,236.2268332,248.0381748,260.4400836
214,81.605,85.68525,89.9695125,94.46798813,99.19138753,104.1509569,109.3585048,114.82643,120.5677515,126.5961391
215,40.643,42.67515,44.8089075,47.04935288,49.40182052,51.87191154,54.46550712,57.18878248,60.0482216,63.05063268
216,40.723,42.75915,44.8971075,47.14196288,49.49906102,51.97401407,54.57271477,57.30135051,60.16641804,63.17473894
217,43.155,45.31275,47.5783875,49.95730688,52.45517222,55.07793083,57.83182737,60.72341874,63.75958968,66.94756916
218,4.803,5.04315,5.2953075,5.560072875,5.838076519,6.129980345,6.436479362,6.75830333,7.096218497,7.451029421
219,44.011,46.21155,48.5221275,50.94823388,53.49564557,56.17042785,58.97894924,61.9278967,65.02429154,68.27550611
220,57.522,60.3981,63.418005,66.58890525,69.91835051,73.41426804,77.08498144,80.93923051,84.98619204,89.23550164
221,75.679,79.46295,83.4360975,87.60790238,91.98829749,96.58771237,101.417098,106.4879529,111.8123505,117.4029681
222,119.228,125.1894,131.44887,138.0213135,144.9223792,152.1684981,159.776923,167.7657692,176.1540577,184.9617605
223,206.952,217.2996,228.16458,239.572809,251.5514495,264.1290219,277.335473,291.2022467,305.762359,321.050477
224,266.586,279.9153,293.911065,308.6066183,324.0369492,340.2387966,357.2507365,375.1132733,393.8689369,413.5623838
225,221.717,232.80285,244.4429925,256.6651421,269.4983992,282.9733192,297.1219852,311.9780844,327.5769886,343.9558381
226,162.313,170.42865,178.9500825,187.8975866,197.292466,207.1570893,217.5149437,228.3906909,239.8102254,251.8007367
227,118.991,124.94055,131.1875775,137.7469564,144.6343042,151.8660194,159.4593204,167.4322864,175.8039007,184.5940957
228,109.363,114.83115,120.5727075,126.6013429,132.93141,139.5779805,146.5568795,153.8847235,161.5789597,169.6579077
229,118.957,124.90485,131.1500925,137.7075971,144.592977,151.8226258,159.4137571,167.384445,175.7536672,184.5413506
230,117.438,123.3099,129.475395,135.9491648,142.746623,149.8839541,157.3781518,165.2470594,173.5094124,182.184883
231,118.556,124.4838,130.70799,137.2433895,144.105559,151.3108369,158.8763788,166.8201977,175.1612076,183.919268
232,150.415,157.93575,165.8325375,174.1241644,182.8303726,191.9718912,201.5704858,211.6490101,222.2314606,233.3430336
