meta,low,base,high
hour,typical_year,typical_year,typical_year
570,176.7585,235.678,294.5975
571,216.62325,288.831,361.03875
572,171.2415,228.322,285.4025
573,111.29175,148.389,185.48625
574,45.23025,60.307,75.38375
575,2.42625,3.235,4.04375
576,14.99025,19.987,24.98375
577,17.51925,23.359,29.19875
578,24.94875,33.265,41.58125
579,36.684,48.912,61.14
580,46.06725,61.423,76.77875
581,62.6505,83.534,104.4175
582,108.61125,144.815,181.01875
583,175.91925,234.559,293.19875
584,187.0695,249.426,311.7825
585,169.50975,226.013,282.51625
586,118.6455,158.194,197.7425
587,82.57275,110.097,137.62125
588,79.5795,106.106,132.6325
589,8.41875,11.225,14.03125
590,8.46525,11.287,14.10875
591,89.95575,119.941,149.92625
592,107.49375,143.325,179.15625
593,135.81975,181.093,226.36625
594,183.92925,245.239,306.54875
595,199.446,265.928,332.41
596,188.211,250.948,313.685
597,116.69475,155.593,194.49125
598,6.2535,8.338,10.4225
599,31.0365,41.382,51.7275
600,14.37225,19.163,23.95375
601,16.1535,21.538,26.9225
602,32.0595,42.746,53.4325
603,39.4635,52.618,65.7725
604,41.829,55.772,69.715
605,57.64725,76.863,96.07875
606,89.63625,119.515,149.39375
607,157.776,210.368,262.96
608,197.18925,262.919,328.64875
609,169.68375,226.245,282.80625
610,113.31525,151.087,188.85875
611,80.2035,106.938,133.6725
612,94.056,125.408,156.76
613,78.09375,104.125,130.15625
614,97.46475,129.953,162.44125
615,99.65925,132.879,166.09875
616,106.63725,142.183,177.72875
617,15.35475,20.473,25.59125
618,222.888,297.184,371.48
619,232.9395,310.586,388.2325
620,187.65225,250.203,312.75375
621,113.44275,151.257,189.07125
622,68.59125,91.455,114.31875
623,28.95225,38.603,48.25375
624,24.798,33.064,41.33
625,26.08575,34.781,43.47625
626,30.456,40.608,50.76
627,34.89075,46.521,58.15125
628,45.177,60.236,75.295
629,63.91875,85.225,106.53125
630,102.05175,136.069,170.08625
631,134.706,179.608,224.51
632,129.0495,172.066,215.0825
633,118.971,158.628,198.285
634,12.03375,16.045,20.05625
635,10.85775,14.477,18.09625
636,12.5385,16.718,20.8975
637,106.04025,141.387,176.73375
638,89.55975,119.413,149.26625
639,117.108,156.144,195.18
640,132.2715,176.362,220.4525
641,150.249,200.332,250.415
642,170.80275,227.737,284.67125
643,183.15825,244.211,305.26375
644,163.54125,218.055,272.56875
645,102.1635,136.218,170.2725
646,53.78625,71.715,89.64375
647,36.39975,48.533,60.66625
648,26.40675,35.209,44.01125
649,30.3345,40.446,50.5575
650,30.00975,40.013,50.01625
651,3.7155,4.954,6.1925
652,50.7105,67.614,84.5175
653,55.77825,74.371,92.96375
654,92.32275,123.097,153.87125
655,135.261,180.348,225.435
656,141.39825,188.531,235.66375
657,113.394,151.192,188.99
658,108.22275,144.297,180.37125
659,8.9505,11.934,14.9175
660,114.62175,152.829,191.03625
661,104.4345,139.246,174.0575
662,102.01275,136.017,170.02125
663,108.53625,144.715,180.89375
664,131.8245,175.766,219.7075
665,166.35675,221.809,277.26125
666,176.1195,234.826,293.5325
667,168.79275,225.057,281.32125
668,137.90925,183.879,229.84875
669,76.2315,101.642,127.0525
670,46.0245,61.366,76.7075
671,20.18325,26.911,33.63875
672,25.8315,34.442,43.0525
673,31.209,41.612,52.015
674,33.9255,45.234,56.5425
675,31.2705,41.694,52.1175
676,42.20625,56.275,70.34375
677,49.66875,66.225,82.78125
678,8.60475,11.473,14.34125
679,146.0955,194.794,243.4925
680,180.10725,240.143,300.17875
681,190.02525,253.367,316.70875
682,92.178,122.904,153.63
683,76.911,102.548,128.185
684,64.28625,85.715,107.14375
685,66.08625,88.115,110.14375
686,87.37575,116.501,145.62625
687,90.30675,120.409,150.51125
688,110.5215,147.362,184.2025
689,133.5135,178.018,222.5225
690,180.73425,240.979,301.22375
691,190.70775,254.277,317.84625
692,164.06025,218.747,273.43375
693,108.0015,144.002,180.0025
694,47.26275,63.017,78.77125
695,21.666,28.888,36.11
696,26.77425,35.699,44.62375
697,29.26725,39.023,48.77875
698,31.96425,42.619,53.27375
699,37.84425,50.459,63.07375
700,44.01225,58.683,73.35375
701,60.4695,80.626,100.7825
702,87.2955,116.394,145.4925
703,151.818,202.424,253.03
704,199.1895,265.586,331.9825
705,161.16825,214.891,268.61375
706,92.00025,122.667,153.33375
707,7.45725,9.943,12.42875
708,69.774,93.032,116.29
709,97.4535,129.938,162.4225
710,92.16675,122.889,153.61125
711,9.138,12.184,15.23
712,117.6195,156.826,196.0325
713,16.011,21.348,26.685
714,193.47075,257.961,322.45125
715,201.76575,269.021,336.27625
716,177.86025,237.147,296.43375
717,110.328,147.104,183.88
718,43.20525,57.607,72.00875
719,17.52975,23.373,29.21625
720,26.63925,35.519,44.39875
721,31.0695,41.426,51.7825
722,34.97175,46.629,58.28625
723,51.17475,68.233,85.29125
724,46.85025,62.467,78.08375
725,55.39275,73.857,92.32125
726,11.8275,15.77,19.7125
727,181.12125,241.495,301.86875
728,222.564,296.752,370.94
729,185.676,247.568,309.46
730,97.0485,129.398,161.7475
731,78.156,104.208,130.26
732,74.9835,99.978,124.9725
733,78.4695,104.626,130.7825
734,9.4305,12.574,15.7175
735,92.49825,123.331,154.16375
736,11.32425,15.099,18.87375
737,149.8305,199.774,249.7175
738,205.5105,274.014,342.5175
739,221.18175,294.909,368.63625
740,183.88125,245.175,306.46875
741,121.5855,162.114,202.6425
742,53.93925,71.919,89.89875
743,30.76125,41.015,51.26875
744,27.6465,36.862,46.0775
745,31.21575,41.621,52.02625
746,29.31975,39.093,48.86625
747,32.4705,43.294,54.1175
748,3.5955,4.794,5.9925
749,51.1545,68.206,85.2575
750,110.46075,147.281,184.10125
751,164.8395,219.786,274.7325
752,195.8385,261.118,326.3975
753,156.06075,208.081,260.10125
754,97.24125,129.655,162.06875
755,81.87675,109.169,136.46125
756,77.4345,103.246,129.0575
757,80.62575,107.501,134.37625
758,7.72875,10.305,12.88125
759,101.59575,135.461,169.32625
760,117.792,157.056,196.32
761,151.58475,202.113,252.64125
762,187.569,250.092,312.615
763,198.06975,264.093,330.11625
764,174.9615,233.282,291.6025
765,111.747,148.996,186.245
766,52.45725,69.943,87.42875
767,32.77575,43.701,54.62625
768,15.7245,20.966,26.2075
769,30.71025,40.947,51.18375
770,36.6285,48.838,61.0475
771,42.77625,57.035,71.29375
772,48.17325,64.231,80.28875
773,6.033,8.044,10.055
774,92.04075,122.721,153.40125
775,154.23975,205.653,257.06625
776,181.614,242.152,302.69
777,164.313,219.084,273.855
778,111.48525,148.647,185.80875
779,74.5665,99.422,124.2775
780,9.91275,13.217,16.52125
781,93.72375,124.965,156.20625
782,73.8195,98.426,123.0325
783,84.58725,112.783,140.97875
784,11.02575,14.701,18.37625
785,127.79775,170.397,212.99625
786,17.877,23.836,29.795
787,194.68275,259.577,324.47125
788,170.283,227.044,283.805
789,116.41725,155.223,194.02875
790,46.4235,61.898,77.3725
791,30.95925,41.279,51.59875
792,15.34275,20.457,25.57125
793,17.853,23.804,29.755
794,30.603,40.804,51.005
795,36.8115,49.082,61.3525
796,44.72325,59.631,74.53875
797,63.68175,84.909,106.13625
798,101.00025,134.667,168.33375
799,127.8615,170.482,213.1025
800,138.42075,184.561,230.70125
801,125.988,167.984,209.98
802,108.35625,144.475,180.59375
803,85.74975,114.333,142.91625
804,99.18525,132.247,165.30875
805,10.32375,13.765,17.20625
806,11.1915,14.922,18.6525
807,120.756,161.008,201.26
808,118.983,158.644,198.305
809,15.09375,20.125,25.15625
810,197.95575,263.941,329.92625
811,185.65275,247.537,309.42125
812,143.406,191.208,239.01
813,100.62675,134.169,167.71125
814,52.41675,69.889,87.36125
815,34.97025,46.627,58.28375
816,28.01025,37.347,46.68375
817,36.28725,48.383,60.47875
818,37.29525,49.727,62.15875
819,40.38075,53.841,67.30125
820,46.48725,61.983,77.47875
821,64.91025,86.547,108.18375
822,113.87175,151.829,189.78625
823,140.86125,187.815,234.76875
824,161.27025,215.027,268.78375
825,130.32075,173.761,217.20125
826,126.117,168.156,210.195
827,97.58475,130.113,162.64125
828,103.3035,137.738,172.1725
829,95.21625,126.955,158.69375
830,93.21225,124.283,155.35375
831,120.321,160.428,200.535
832,127.17975,169.573,211.96625
833,173.2215,230.962,288.7025
834,187.33275,249.777,312.22125
835,18.37425,24.499,30.62375
836,150.6945,200.926,251.1575
837,100.3005,133.734,167.1675
838,60.46275,80.617,100.77125
839,3.2835,4.378,5.4725
840,28.11825,37.491,46.86375
