meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
182;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
183;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
184;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
185;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
186;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
187;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
188;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
189;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
190;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
191;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
192;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
193;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
194;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
195;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
196;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
197;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
198;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
199;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
200;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
201;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
202;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
203;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
204;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
205;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
206;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
207;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
208;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
209;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
210;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
211;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
212;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
213;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
214;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
215;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
216;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
217;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
218;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
219;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
220;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
221;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
222;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
223;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
224;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
225;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
226;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
