meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
,Solar,Solar,Solar,Solar,Solar
592,0.30532,0.30532,0.30532,0.30532,0.30532
593,0.06589,0.06589,0.06589,0.06589,0.06589
594,0,0,0,0,0
595,0,0,0,0,0
596,0,0,0,0,0
597,0,0,0,0,0
598,0,0,0,0,0
599,0,0,0,0,0
600,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
607,0.17798,0.17798,0.17798,0.17798,0.17798
608,0.41637,0.41637,0.41637,0.41637,0.41637
609,0.60252,0.60252,0.60252,0.60252,0.60252
610,0.7343,0.7343,0.7343,0.7343,0.7343
611,0.79556,0.79556,0.79556,0.79556,0.79556
612,0.80187,0.80187,0.80187,0.80187,0.80187
613,0.75463,0.75463,0.75463,0.75463,0.75463
614,0.66,0.66,0.66,0.66,0.66
615,0.51281,0.51281,0.51281,0.51281,0.51281
616,0.3053,0.3053,0.3053,0.3053,0.3053
617,0.06844,0.06844,0.06844,0.06844,0.06844
618,0,0,0,0,0
619,0,0,0,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,0,0
623,0,0,0,0,0
624,0,0,0,0,0
625,0,0,0,0,0
626,0,0,0,0,0
627,0,0,0,0,0
628,0,0,0,0,0
629,0,0,0,0,0
630,0,0,0,0,0
631,0.16986,0.16986,0.16986,0.16986,0.16986
632,0.40053,0.40053,0.40053,0.40053,0.40053
633,0.59417,0.59417,0.59417,0.59417,0.59417
634,0.71868,0.71868,0.71868,0.71868,0.71868
635,0.78102,0.78102,0.78102,0.78102,0.78102
636,0.78335,0.78335,0.78335,0.78335,0.78335
637,0.72615,0.72615,0.72615,0.72615,0.72615
638,0.62472,0.62472,0.62472,0.62472,0.62472
639,0.48986,0.48986,0.48986,0.48986,0.48986
640,0.29586,0.29586,0.29586,0.29586,0.29586
641,0.06924,0.06924,0.06924,0.06924,0.06924
642,0,0,0,0,0
643,0,0,0,0,0
644,0,0,0,0,0
645,0,0,0,0,0
646,0,0,0,0,0
647,0,0,0,0,0
648,0,0,0,0,0
649,0,0,0,0,0
650,0,0,0,0,0
651,0,0,0,0,0
652,0,0,0,0,0
653,0,0,0,0,0
654,0,0,0,0,0
655,0.14973,0.14973,0.14973,0.14973,0.14973
656,0.37945,0.37945,0.37945,0.37945,0.37945
657,0.56908,0.56908,0.56908,0.56908,0.56908
658,0.69181,0.69181,0.69181,0.69181,0.69181
659,0.75947,0.75947,0.75947,0.75947,0.75947
660,0.76764,0.76764,0.76764,0.76764,0.76764
661,0.7184,0.7184,0.7184,0.7184,0.7184
662,0.62034,0.62034,0.62034,0.62034,0.62034
663,0.46581,0.46581,0.46581,0.46581,0.46581
664,0.2712,0.2712,0.2712,0.2712,0.2712
665,0.0554,0.0554,0.0554,0.0554,0.0554
666,0,0,0,0,0
667,0,0,0,0,0
668,0,0,0,0,0
669,0,0,0,0,0
670,0,0,0,0,0
671,0,0,0,0,0
672,0,0,0,0,0
673,0,0,0,0,0
674,0,0,0,0,0
675,0,0,0,0,0
676,0,0,0,0,0
677,0,0,0,0,0
678,0,0,0,0,0
679,0.15691,0.15691,0.15691,0.15691,0.15691
680,0.3892,0.3892,0.3892,0.3892,0.3892
681,0.58409,0.58409,0.58409,0.58409,0.58409
682,0.71312,0.71312,0.71312,0.71312,0.71312
683,0.77601,0.77601,0.77601,0.77601,0.77601
684,0.78183,0.78183,0.78183,0.78183,0.78183
