meta,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand
29,84.809,86.929225,89.10245563,91.33001702,93.61326744,95.95359913,98.35243911,100.8112501,103.3315313,105.9148196,84.809,89.04945,91.27568625,93.55757841,95.89651787,98.29393081,100.7512791,103.2700611,105.8518126,108.4981079,84.809,91.169675,93.44891688,95.7851398,98.17976829,100.6342625,103.1501191,105.728872,108.3720938,111.0813962
30,108.125,110.828125,113.5988281,116.4387988,119.3497688,122.333513,125.3918508,128.5266471,131.7398133,135.0333086,108.125,113.53125,116.3695313,119.2787695,122.2607388,125.3172572,128.4501887,131.6614434,134.9529795,138.326804,108.125,116.234375,119.1402344,122.1187402,125.1717087,128.3010015,131.5085265,134.7962397,138.1661456,141.6202993
31,205.283,210.415075,215.6754519,221.0673382,226.5940216,232.2588722,238.065344,244.0169776,250.117402,256.3703371,205.283,215.54715,220.9358288,226.4592245,232.1207051,237.9237227,243.8718158,249.9686112,256.2178264,262.6232721,205.283,220.679225,226.1962056,231.8511108,237.6473885,243.5885732,249.6782876,255.9202448,262.3182509,268.8762072
32,247.355,253.538875,259.8773469,266.3742805,273.0336376,279.8594785,286.8559655,294.0273646,301.3780487,308.9124999,247.355,259.72275,266.2158188,272.8712142,279.6929946,286.6853194,293.8524524,301.1987637,308.7287328,316.4469511,247.355,265.906625,272.5542906,279.3681479,286.3523516,293.5111604,300.8489394,308.3701629,316.0794169,323.9814024
33,202.174,207.22835,212.4090588,217.7192852,223.1622673,228.741324,234.4598571,240.3213536,246.3293874,252.4876221,202.174,212.2827,217.5897675,223.0295117,228.6052495,234.3203807,240.1783902,246.18285,252.3374212,258.6458568,202.174,217.33705,222.7704763,228.3397382,234.0482316,239.8994374,245.8969233,252.0443464,258.3454551,264.8040915
34,130.858,134.12945,137.4826863,140.9197534,144.4427472,148.0538159,151.7551613,155.5490404,159.4377664,163.4237105,130.858,137.4009,140.8359225,144.3568206,147.9657411,151.6648846,155.4565067,159.3429194,163.3264924,167.4096547,130.858,140.67235,144.1891588,147.7938877,151.4887349,155.2759533,159.1578521,163.1367984,167.2152184,171.3955988
35,123.012,126.0873,129.2394825,132.4704696,135.7822313,139.1767871,142.6562068,146.2226119,149.8781772,153.6251317,123.012,129.1626,132.391665,135.7014566,139.093993,142.5713429,146.1356264,149.7890171,153.5337425,157.3720861,123.012,132.2379,135.5438475,138.9324437,142.4057548,145.9658986,149.6150461,153.3554223,157.1893078,161.1190405
36,93.725,96.068125,98.46982813,100.9315738,103.4548632,106.0412348,108.6922656,111.4095723,114.1948116,117.0496819,93.725,98.41125,100.8715313,103.3933195,105.9781525,108.6276063,111.3432965,114.1268789,116.9800509,119.9045521,93.725,100.754375,103.2732344,105.8550652,108.5014419,111.2139779,113.9943274,116.8441855,119.7652902,122.7594224
37,99.017,101.492425,104.0297356,106.630479,109.296241,112.028647,114.8293632,117.7000973,120.6425997,123.6586647,99.017,103.96785,106.5670463,109.2312224,111.962003,114.761053,117.6300794,120.5708314,123.5851021,126.6747297,99.017,106.443275,109.1043569,111.8319658,114.6277649,117.4934591,120.4307955,123.4415654,126.5276046,129.6907947
38,101.375,103.909375,106.5071094,109.1697871,111.8990318,114.6965076,117.5639203,120.5030183,123.5155937,126.6034836,101.375,106.44375,109.1048438,111.8324648,114.6282765,117.4939834,120.431333,123.4421163,126.5281692,129.6913734,101.375,108.978125,111.7025781,114.4951426,117.3575211,120.2914592,123.2987457,126.3812143,129.5407446,132.7792633
