meta,scenario_1
hour,typical_year
,Solar
1803,0
1804,0
1805,0
1806,0
1807,0.129197942
1808,0.368358561
1809,0.577368844
1810,0.738518985
1811,0.838116183
1812,0.878034156
1813,0.863327532
1814,0.787447685
1815,0.654710283
1816,0.453409513
1817,0.241661687
1818,0.019018507
1819,0
1820,0
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,0.134179361
1832,0.376014975
1833,0.583853985
1834,0.741924557
1835,0.837254568
1836,0.880827775
1837,0.861151788
1838,0.783891347
1839,0.651575525
1840,0.455828839
1841,0.24151043
1842,0.01897287
1843,0
1844,0
1845,0
1846,0
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0.136288127
1856,0.372159426
1857,0.541877263
1858,0.734109262
1859,0.832879374
1860,0.875936233
1861,0.859342452
1862,0.779438698
1863,0.650714083
1864,0.456572949
1865,0.240463243
1866,0.019930888
1867,0
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0.068457466
1880,0.052027674
1881,0.336689191
1882,0.46487232
1883,0.713387286
1884,0.487067034
1885,0.732715797
1886,0.731074273
1887,0.626228589
1888,0.430578906
1889,0.247342076
1890,0.019218596
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0.138223385
1904,0.384890142
1905,0.593979117
1906,0.751318741
1907,0.834215561
1908,0.855051162
1909,0.852054684
1910,0.789362799
1911,0.667417761
1912,0.468082375
1913,0.242946906
1914,0.002870747
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0.050156664
1928,0.391373253
1929,0.601670633
1930,0.765298337
1931,0.86156917
1932,0.896475518
1933,0.86007978
1934,0.799546381
1935,0.654282146
1936,0.412948944
1937,0.251063552
1938,0.018004973
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0.071605298
1952,0.253004433
1953,0.517616624
1954,0.502878114
1955,0.612915325
1956,0.720781763
1957,0.821484078
1958,0.785771962
1959,0.340945192
1960,0.465431339
1961,0.240813596
1962,0.013385921
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0.013805011
1976,0.177971162
1977,0.298393156
1978,0.403540655
1979,0.665125486
1980,0.78629074
1981,0.858196197
1982,0.776779057
1983,0.531539145
1984,0.482232836
1985,0.249334809
1986,0.016289777
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0.123671757
2000,0.357186196
2001,0.346556099
2002,0.517797103
2003,0.670802212
2004,0.796534964
2005,0.801114379
2006,0.748195667
2007,0.565905929
2008,0.479756363
2009,0.215185145
2010,0.002869313
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0.131007119
2024,0.270244294
2025,0.506677208
2026,0.690527976
2027,0.832189583
2028,0.894184337
2029,0.852165052
2030,0.758842431
2031,0.629139821
2032,0.478214425
2033,0.247872616
2034,0.016265805
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0.113743775
2048,0.340354113
2049,0.517031286
2050,0.425723721
2051,0.66758684
2052,0.796835241
2053,0.839228176
2054,0.783945127
2055,0.642909557
2056,0.474423291
2057,0.245748534
2058,0.015326294
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0.099821881
2072,0.334246249
2073,0.585384958
2074,0.734495726
2075,0.853036028
2076,0.892269432
2077,0.882639817
2078,0.798616498
2079,0.664476296
2080,0.476598682
2081,0.244671365
2082,0.015322763
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0.156195526
2096,0.257824025
2097,0.557512591
2098,0.678360782
2099,0.817531559
2100,0.864935333
2101,0.821459756
2102,0.755390415
