period,year,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,grid_import,grid_export,grid_import_delivered,grid_export_delivered
14,2029,scenario_1,132.4797626,558.5859716166292,0.0,426.10620901662924,0.0,1646.1350839154081,0.0,0.0,0.0,0.0,0.0
14,2030,scenario_1,139.1037508,565.2099598166292,0.0,426.10620901662924,0.0,1640.5089047140225,0.0,0.0,0.0,0.0,0.0
14,2031,scenario_1,146.0589383,689.8904365514618,0.0,543.8314982514618,0.0,2075.7910364209897,0.0,0.0,0.0,0.0,0.0
14,2032,scenario_1,153.3618852,697.1933834514617,0.0,543.8314982514618,0.0,2083.7659200059898,0.0,0.0,0.0,0.0,0.0
14,2033,scenario_1,161.0299795,704.8614777514617,0.0,543.8314982514618,0.0,2092.13954785099,0.0,0.0,0.0,0.0,0.0
14,2034,scenario_1,169.0814784,712.9129766514618,0.0,543.8314982514618,0.0,2093.7512682681277,0.0,0.0,0.0,0.0,0.0
14,2035,scenario_1,177.5355524,721.3670506514618,0.0,543.8314982514618,0.0,2110.16378176099,0.0,0.0,0.0,0.0,0.0
15,2026,scenario_1,107.333,107.333,0.0,0.0,0.0,2031.2374916562057,0.0,0.0,0.0,0.0,0.0
15,2027,scenario_1,112.69965,112.69965,0.0,0.0,0.0,2037.4860216562058,0.0,0.0,0.0,0.0,0.0
15,2028,scenario_1,118.3346325,118.3346325,0.0,0.0,0.0,2044.0469781562058,0.0,0.0,0.0,0.0,0.0
15,2029,scenario_1,124.2513641,124.2513641,0.0,0.0,0.0,2050.935982481206,0.0,0.0,0.0,0.0,0.0
15,2030,scenario_1,130.4639323,144.00038889619552,0.0,13.536456596195517,0.0,2045.3098032798202,0.0,0.0,0.0,0.0,0.0
15,2031,scenario_1,136.9871289,136.9871289,0.0,0.0,0.0,2592.4309597598785,0.0,0.0,0.0,0.0,0.0
15,2032,scenario_1,143.8364854,143.8364854,0.0,0.0,0.0,2600.405843344878,0.0,0.0,0.0,0.0,0.0
15,2033,scenario_1,151.0283097,151.0283097,0.0,0.0,0.0,2608.779471189878,0.0,0.0,0.0,0.0,0.0
15,2034,scenario_1,158.5797251,166.1382395924863,0.0,7.558514492486307,0.0,2610.3911916070165,0.0,0.0,0.0,0.0,0.0
15,2035,scenario_1,166.5087114,166.5087114,0.0,0.0,0.0,2626.8037050998782,0.0,0.0,0.0,0.0,0.0
