Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
24,7721.123,8107.17915,8512.5381075,8938.165012875,9385.07326351875,9854.32692669469,10347.043273029425,10864.395436680896,11407.61520851494,11977.995968940688,12576.895767387723,13205.74055575711,13866.027583544967,14559.328962722215,15287.295410858327,16051.660181401245,16854.243190471305,17696.95534999487,18581.803117494615,19510.89327336935
25,8133.058,8539.7109,8966.696445,9415.03126725,9885.782830612501,10380.071972143129,10899.075570750285,11444.029349287799,12016.23081675219,12617.042357589798,13247.89447546929,13910.289199242754,14605.803659204894,15336.093842165139,16102.898534273398,16908.043460987068,17753.44563403642,18641.117915738243,19573.173811525154,20551.832502101413
26,8193.046,8602.6983,9032.833215,9484.474875750002,9958.698619537503,10456.633550514378,10979.465228040097,11528.438489442102,12104.860413914208,12710.103434609919,13345.608606340415,14012.889036657436,14713.53348849031,15449.210162914826,16221.670671060569,17032.754204613597,17884.391914844276,18778.611510586492,19717.542086115816,20703.41919042161
27,7463.026,7836.1773,8227.986165,8639.38547325,9071.354746912502,9524.922484258128,10001.168608471035,10501.227038894585,11026.288390839316,11577.602810381282,12156.482950900345,12764.307098445364,13402.522453367634,14072.648576036016,14776.281004837818,15515.09505507971,16290.849807833692,17105.39229822538,17960.661913136646,18858.695008793482
28,10180.011000000002,10689.011550000003,11223.462127500003,11784.635233875004,12373.866995568755,12992.560345347194,13642.188362614554,14324.297780745283,15040.512669782547,15792.538303271675,16582.165218435257,17411.273479357023,18281.837153324876,19195.92901099112,20155.72546154068,21163.511734617714,22221.687321348596,23332.77168741603,24499.410271786826,25724.380785376175
29,8821.017,9262.06785,9725.1712425,10211.429804625,10722.001294856253,11258.101359599066,11821.00642757902,12412.05674895797,13032.659586405869,13684.292565726162,14368.50719401247,15086.932553713095,15841.279181398751,16633.34314046869,17465.010297492125,18338.260812366734,19255.173852985066,20217.932545634325,21228.829172916037,22290.270631561845
30,9914.024,10409.725199999999,10930.21146,11476.722033,12050.558134650002,12653.086041382503,13285.740343451629,13950.02736062421,14647.528728655421,15379.905165088192,16148.900423342602,16956.345444509734,17804.16271673522,18694.37085257198,19629.089395200583,20610.543864960615,21641.071058208643,22723.124611119078,23859.28084167503,25052.244883758787
31,10845.025,11387.27625,11956.6400625,12554.472065625001,13182.195668906252,13841.305452351566,14533.370724969145,15260.039261217602,16023.041224278482,16824.19328549241,17665.402949767027,18548.67309725538,19476.10675211815,20449.912089724057,21472.407694210266,22546.02807892078,23673.329482866815,24856.99595701016,26099.845754860664,27404.838042603704
32,12050.065,12652.56825,13285.1966625,13949.456495625001,14646.929320406254,15379.275786426568,16148.239575747897,16955.651554535292,17803.434132262057,18693.60583887516,19628.286130818917,20609.700437359865,21640.18545922786,22722.194732189255,23858.30446879872,25051.219692238657,26303.780676850587,27618.96971069312,28999.918196227773,30449.914106039167
33,16130.085,16936.58925,17783.4187125,18672.589648125002,19606.21913053125,20586.530087057818,21615.85659141071,22696.649420981244,23831.481892030308,25023.05598663182,26274.208785963416,27587.919225261587,28967.31518652467,30415.6809458509,31936.46499314345,33533.28824280063,35209.95265494065,36970.45028768769,38818.97280207207,40759.921442175684
