Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
100,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
101,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
102,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999,497.0000149999999
103,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001,964.9502550000001
104,2471.529075,2471.529075,2471.529075,2471.529075,2471.529075,2471.529075,2471.529075,2471.529075,2471.529075,2471.529075
105,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334,2346.170873333334
106,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001,2091.926475000001
107,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334,1905.466908333334
108,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667,1654.899811666667
109,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003,329.8599500000003
110,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002,539.7555600000002
111,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999,3471.281359999999
112,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663,4547.315106666663
113,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332,3237.996593333332
114,547.352851666667,547.352851666667,547.352851666667,547.352851666667,547.352851666667,547.352851666667,547.352851666667,547.352851666667,547.352851666667,547.352851666667
115,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333,421.3333533333333
116,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
