Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
32,2812.550588333333,2813.1130984509996,2813.6757210706896,2814.2384562149036,2814.8013039061466,2815.3642641669276,2815.9273370197607,2816.4905224871645,2817.053820591662,2817.61723135578
33,2966.723881666665,2967.317226442998,2967.9106898882865,2968.504272026264,2969.097972880669,2969.691792475245,2970.28573083374,2970.8797879799067,2971.4739639375025,2972.06825873029
34,2116.803210000001,2117.2265706420008,2117.650015956129,2118.07354595932,2118.497160668512,2118.9208601006458,2119.344644272666,2119.7685132015204,2120.1924669041605,2120.6165053975415
35,2076.183635000001,2076.5988717270006,2077.014191501346,2077.429594339646,2077.845080258514,2078.2606492745654,2078.6763014044204,2079.0920366647015,2079.5078550720345,2079.923756643049
36,1725.648386666667,1725.9935163440002,1726.338715047269,1726.6839827902784,1727.0293195868364,1727.3747254507537,1727.7202003958437,1728.0657444359229,1728.41135758481,1728.757039856327
37,469.1344966666667,469.22832356600003,469.3221692307132,469.41603366455934,469.50991687129226,469.6038188546665,469.6977396184374,469.7916791663611,469.88563750219436,469.97961462969477
38,499.8987116666667,499.99869140900006,500.09869114728184,500.1987108855113,500.2987506276884,500.3988103778139,500.49889013988945,500.59898991791744,500.699109715901,500.79924953784416
39,2969.632324999998,2970.2262514649983,2970.820296715291,2971.414460774634,2972.0087436667886,2972.603145415522,2973.197666044605,2973.7923055778137,2974.387064038929,2974.981941451737
40,4821.373761666664,4822.338036418997,4823.302504026281,4824.267164527086,4825.232017959991,4826.197064363583,4827.162303776456,4828.127736237211,4829.0933617844585,4830.059180456815
41,3594.263468333332,3594.9823210269988,3595.701317491204,3596.420457754702,3597.139741846253,3597.859169794622,3598.578741628581,3599.2984573769068,3600.018317068382,3600.7383207317957
42,491.8461750000003,491.9445442350003,492.0429331438473,492.14134173047603,492.2397699988221,492.3382179528219,492.4366855964124,492.53517293353167,492.6336799681184,492.732206704112
43,422.1666733333333,422.2511066679999,422.33555688933353,422.4200240007114,422.5045080055115,422.5890089071126,422.67352670889403,422.7580614142358,422.8426130265186,422.92718154912393
44,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
45,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
46,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
47,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
48,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
49,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
50,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
51,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
52,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
53,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
54,482.0000183333333,482.09641833699993,482.1928376206673,482.2892761881914,482.38573404342907,482.48221119023776,482.5787076324758,482.6752233740023,482.7717584186771,482.86831277036083
