;1,0;2,0
711,0;612,012025251841;0,0
712,0;496,1688206075054;0,0
713,0;350,5548606070287;0,0
714,0;194,67123552303335;82,0265996855194
715,0;51,26895497742023;1431,5994173862769
716,0;0,0;3870,390100436364
717,0;0,0;3288,042600635169
718,0;0,0;1343,7093206385493
719,0;0,0;478,05193301397566
720,0;0,0;1292,8619799991677
721,0;0,0;2230,4520766720957
722,0;0,0;2087,5091837032414
723,0;0,0;1361,6016365978999
724,0;0,0;468,5306585032525
725,0;0,0;293,09440278685827
726,0;0,0;125,60564494863358
727,0;5,885664780897405;147,26325280605556
728,0;138,47399858405845;169,67324031791176
729,0;295,3123641559509;120,90628265983305
730,0;451,9577092705244;0,0
731,0;585,8241516305426;0,0
732,0;678,703157117778;0,0
733,0;718,9261888536068;0,0
734,0;702,1215786325628;0,0
735,0;629,7675613345243;181,1113566930358
736,0;510,850016976543;459,56486150336076
737,0;361,0318256159442;2343,2196630935773
738,0;199,81716435836353;3993,645465897701
739,0;51,99660845856432;4626,322786366756
740,0;0,0;4604,86720126105
741,0;0,0;4951,189780987278
742,0;0,0;4967,186757648113
743,0;0,0;4290,480987247753
744,0;0,0;3857,9641130936047
745,0;0,0;4062,1286089439864
746,0;0,0;5331,350857256847
747,0;0,0;6704,25057088509
748,0;0,0;6191,517976343482
749,0;0,0;3600,4628635124745
750,0;0,0;477,0366755351669
751,0;4,792781445458234;273,47165914290673
752,0;144,79803042919983;191,26746105715964
753,0;312,4084802144087;143,78826974662863
754,0;478,7852861185206;0,0
755,0;620,4949630993096;0,0
756,0;718,6726397772708;0,0
757,0;761,4824188066375;0,0
758,0;743,7893218367337;0,0
759,0;667,8400173470017;0,0
760,0;541,9456566973618;0,0
761,0;384,0139811803778;99,54214656317895
762,0;211,98560056065887;377,044600519985
763,0;52,741972044239056;1184,8058738236643
764,0;0,0;1792,612798437802
765,0;0,0;841,8962693690614
766,0;0,0;264,14147600108515
767,0;0,0;3,068932279977954
768,0;0,0;11,845870861108443
769,0;0,0;203,71930726389652
770,0;0,0;386,30615149250167
771,0;0,0;1040,841607982987
772,0;0,0;2161,3330999583927
773,0;0,0;1908,1454865995206
774,0;0,0;266,8271138640312
775,0;4,361808779133529;0,0
776,0;139,23328083137147;0,0
777,0;299,8190740626277;0,0
778,0;459,804400334489;37,32618034767321
779,0;596,6215938263275;268,590494175859
780,0;692,5484480415022;476,0223746730057
781,0;734,8522680710533;1390,8818025522955
782,0;718,5645302770595;1833,6122605451626
783,0;645,2363540348595;1692,4743159321572
784,0;523,9929925360232;1419,5487138740943
785,0;370,6258951648441;1066,4449446720416
786,0;204,7858752427658;1964,6323028990478
787,0;52,28962601656869;3493,7049178137117
788,0;0,0;6778,941355197872
789,0;0,0;9313,196794884898
790,0;0,0;9407,775587453676
791,0;0,0;7096,90585889445
792,0;0,0;4417,757006990717
793,0;0,0;3125,137036480783
794,0;0,0;2779,112106827755
